experiment_id,type,dataset,language_slice,dense_model,sparse_method,sparse_variant,hybrid_alpha,re_ranker,re_rank_topN,chunk_size,overlap,K_dense,K_sparse,K_report,ann_index,hnsw_M,efConstruction,efSearch,seed
DenseOnly__mContriever__Mr.TyDi__swahili__c200__s7,dense_only,Mr.TyDi,swahili,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__Mr.TyDi__swahili__c300__s42,dense_only,Mr.TyDi,swahili,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__Mr.TyDi__swahili__c300__s7,dense_only,Mr.TyDi,swahili,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__Mr.TyDi__swahili__c200__s42,dense_only,Mr.TyDi,swahili,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__Mr.TyDi__swahili__c200__s7,dense_only,Mr.TyDi,swahili,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__Mr.TyDi__swahili__c300__s42,dense_only,Mr.TyDi,swahili,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__Mr.TyDi__swahili__c300__s7,dense_only,Mr.TyDi,swahili,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__Mr.TyDi__bengali__c200__s42,dense_only,Mr.TyDi,bengali,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__Mr.TyDi__bengali__c200__s7,dense_only,Mr.TyDi,bengali,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__Mr.TyDi__bengali__c300__s42,dense_only,Mr.TyDi,bengali,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__Mr.TyDi__bengali__c300__s7,dense_only,Mr.TyDi,bengali,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__Mr.TyDi__bengali__c200__s42,dense_only,Mr.TyDi,bengali,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
